Ano,Cor,Nº Questão,Gabarito,Sigla da Área,Área,Língua,Habilidade,Item Abandonado,Motivo Abandono,Item Adaptado,Parâmetro A,Parâmetro B,Parâmetro C,Itens,Provas,Versão Digital
2014,Amarelo,1,A,CH,Linguagens e Códigos,,25,0,,,2.79763,0.6892,0.17227,67091,196,
2014,Amarelo,2,A,CH,Linguagens e Códigos,,2,0,,,0.89558,2.01594,0.25981,38733,196,
2014,Amarelo,3,D,CH,Linguagens e Códigos,,10,0,,,1.84372,1.40633,0.05687,68462,196,
2014,Amarelo,4,E,CH,Linguagens e Códigos,,10,0,,,1.8402,1.23224,0.15407,68887,196,
2014,Amarelo,5,A,CH,Linguagens e Códigos,,24,0,,,2.31205,0.41073,0.18311,25454,196,
2014,Amarelo,6,A,CH,Linguagens e Códigos,,23,0,,,2.10172,0.70392,0.15742,30991,196,
2014,Amarelo,7,B,CH,Linguagens e Códigos,,26,0,,,0.89886,0.64478,0.23257,25354,196,
2014,Amarelo,8,B,CH,Linguagens e Códigos,,12,0,,,3.09471,0.52391,0.1787,24800,196,
2014,Amarelo,9,E,CH,Linguagens e Códigos,,11,0,,,1.61838,2.20531,0.22184,11476,196,
2014,Amarelo,10,A,CH,Linguagens e Códigos,,13,0,,,1.21691,-0.05997,0.20758,38143,196,
2014,Amarelo,11,D,CH,Linguagens e Códigos,,27,0,,,2.60708,2.30179,0.14975,15260,196,
2014,Amarelo,12,B,CH,Linguagens e Códigos,,7,0,,,2.88684,0.37426,0.27551,56013,196,
2014,Amarelo,13,A,CH,Linguagens e Códigos,,1,0,,,1.4864,0.78624,0.0483,63472,196,
2014,Amarelo,14,B,CH,Linguagens e Códigos,,1,0,,,1.64831,1.90451,0.09338,66217,196,
2014,Amarelo,15,B,CH,Linguagens e Códigos,,29,0,,,1.17717,3.04416,0.10704,59956,196,
2014,Amarelo,16,D,CH,Linguagens e Códigos,,4,0,,,0.92824,1.73009,0.1265,49310,196,
2014,Amarelo,17,A,CH,Linguagens e Códigos,,20,0,,,2.2357,0.85492,0.15776,46855,196,
2014,Amarelo,18,D,CH,Linguagens e Códigos,,8,0,,,3.08701,1.4265,0.14773,67994,196,
2014,Amarelo,19,B,CH,Linguagens e Códigos,,22,0,,,0.34104,0.60682,0.16604,44452,196,
2014,Amarelo,20,C,CH,Linguagens e Códigos,,11,0,,,1.72415,0.43534,13.0,49583,196,
2014,Amarelo,21,C,CH,Linguagens e Códigos,,4,0,,,3.64335,0.41592,0.21298,24631,196,
2014,Amarelo,22,E,CH,Linguagens e Códigos,,27,0,,,1.38636,0.82831,0.06684,55791,196,
2014,Amarelo,23,E,CH,Linguagens e Códigos,,16,0,,,2.55238,0.46672,0.26522,67718,196,
2014,Amarelo,24,C,CH,Linguagens e Códigos,,5,0,,,1.78029,0.86701,0.2147,24323,196,
2014,Amarelo,25,C,CH,Linguagens e Códigos,,28,0,,,1.16371,1.90465,0.24597,47424,196,
2014,Amarelo,26,E,CH,Linguagens e Códigos,,29,0,,,1.96287,1.96008,0.12172,66895,196,
2014,Amarelo,27,D,CH,Linguagens e Códigos,,6,0,,,1.37171,1.33586,0.07794,68255,196,
2014,Amarelo,28,E,CH,Linguagens e Códigos,,24,0,,,1.35744,1.07,0.24935,24456,196,
2014,Amarelo,29,C,CH,Linguagens e Códigos,,15,0,,,1.94892,2.27327,0.12949,8831,196,
2014,Amarelo,30,B,CH,Linguagens e Códigos,,8,0,,,4.04769,1.4331,0.1523,55399,196,
2014,Amarelo,31,C,CH,Linguagens e Códigos,,9,0,,,2.85672,1.6576,0.08903,54534,196,
2014,Amarelo,32,A,CH,Linguagens e Códigos,,15,0,,,1.28675,1.26525,0.19317,24561,196,
2014,Amarelo,33,B,CH,Linguagens e Códigos,,13,0,,,2.20052,1.38117,0.13293,67274,196,
2014,Amarelo,34,D,CH,Linguagens e Códigos,,29,0,,,2.55496,1.69571,0.07739,26036,196,
2014,Amarelo,35,B,CH,Linguagens e Códigos,,21,0,,,2.65576,1.42138,0.17486,37340,196,
2014,Amarelo,36,A,CH,Linguagens e Códigos,,14,0,,,2.35318,1.4709,0.20182,68434,196,
2014,Amarelo,37,C,CH,Linguagens e Códigos,,5,0,,,2.49341,0.82321,0.18585,42142,196,
2014,Amarelo,38,C,CH,Linguagens e Códigos,,9,0,,,2.44388,1.16416,0.17099,25323,196,
2014,Amarelo,39,E,CH,Linguagens e Códigos,,30,0,,,1.59948,2.30342,178.0,48878,196,
2014,Amarelo,40,D,CH,Linguagens e Códigos,,6,0,,,2.85822,1.20972,0.1217,54668,196,
2014,Amarelo,41,E,CH,Linguagens e Códigos,,19,0,,,2.0277,1.48294,0.15376,63269,196,
2014,Amarelo,42,A,CH,Linguagens e Códigos,,18,0,,,1.18532,0.01861,0.2096,25276,196,
2014,Amarelo,43,D,CH,Linguagens e Códigos,,3,0,,,3.59227,0.50242,0.26104,59833,196,
2014,Amarelo,44,E,CH,Linguagens e Códigos,,17,0,,,2.73114,1.10084,0.1605,63625,196,
2014,Amarelo,45,C,CH,Linguagens e Códigos,,18,0,,,3.15175,0.77756,0.32448,54201,196,
2014,Amarelo,46,D,CN,Linguagens e Códigos,,2,0,,,1.55006,2.1268,0.31822,27251,200,
2014,Amarelo,47,A,CN,Linguagens e Códigos,,8,1,Não permitiu a convergência do algoritmo de estimação da TRI,,,,,49314,200,
2014,Amarelo,48,E,CN,Linguagens e Códigos,,11,0,,,3.32615,0.55299,0.28814,61174,200,
2014,Amarelo,49,D,CN,Linguagens e Códigos,,27,0,,,3.29792,2.22099,0.12511,66279,200,
2014,Amarelo,50,C,CN,Linguagens e Códigos,,25,0,,,2.44256,1.77915,0.1836,48929,200,
2014,Amarelo,51,D,CN,Linguagens e Códigos,,2,0,,,3.73585,1.3958,0.10898,29232,200,
2014,Amarelo,52,C,CN,Linguagens e Códigos,,7,0,,,1.44239,1.10564,0.19345,44603,200,
2014,Amarelo,53,A,CN,Linguagens e Códigos,,3,0,,,3.24091,1.75351,0.17556,16800,200,
2014,Amarelo,54,E,CN,Linguagens e Códigos,,19,0,,,2.63315,1.25817,0.07409,30872,200,
2014,Amarelo,55,A,CN,Linguagens e Códigos,,24,0,,,5.05216,2.36697,0.15184,18244,200,
2014,Amarelo,56,B,CN,Linguagens e Códigos,,23,0,,,1.54605,2.25004,0.12623,26808,200,
2014,Amarelo,57,D,CN,Linguagens e Códigos,,13,0,,,1.32244,1.48152,0.11328,8319,200,
2014,Amarelo,58,B,CN,Linguagens e Códigos,,15,0,,,2.58594,0.84758,0.25747,41012,200,
2014,Amarelo,59,C,CN,Linguagens e Códigos,,22,0,,,1.03867,312.0,0.11225,33083,200,
2014,Amarelo,60,B,CN,Linguagens e Códigos,,24,0,,,1.87352,1.97033,0.19883,44477,200,
2014,Amarelo,61,D,CN,Linguagens e Códigos,,25,0,,,0.9927,0.87414,0.04118,59726,200,
2014,Amarelo,62,E,CN,Linguagens e Códigos,,12,0,,,0.82663,1.06465,0.00558,48313,200,
2014,Amarelo,63,A,CN,Linguagens e Códigos,,21,0,,,1.16337,1.38241,0.12073,16671,200,
2014,Amarelo,64,D,CN,Linguagens e Códigos,,16,0,,,2.74071,1.53304,0.14775,23205,200,
2014,Amarelo,65,C,CN,Linguagens e Códigos,,6,0,,,3.01003,0.95877,0.18229,39365,200,
2014,Amarelo,66,D,CN,Linguagens e Códigos,,26,0,,,1.76036,0.97713,0.09657,39367,200,
2014,Amarelo,67,B,CN,Linguagens e Códigos,,18,0,,,2.47553,1.19448,0.12259,41247,200,
2014,Amarelo,68,E,CN,Linguagens e Códigos,,19,0,,,1.36108,0.57513,0.07569,48301,200,
2014,Amarelo,69,B,CN,Linguagens e Códigos,,29,0,,,1.9749,0.9016,0.18224,43414,200,
2014,Amarelo,70,C,CN,Linguagens e Códigos,,5,0,,,2.2501,1.58493,0.18067,37142,200,
2014,Amarelo,71,B,CN,Linguagens e Códigos,,24,0,,,4.94938,1.96591,0.17837,7222,200,
2014,Amarelo,72,D,CN,Linguagens e Códigos,,25,0,,,2.59396,2.34787,0.16309,40364,200,
