NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050
160000301384;2016;8;M;0;3;1;1;7;1;;0;;;;;;;;0;;;;2507507;João Pessoa;25;PB;1;1;1;1;292;296;300;304;550;629.4;574;462.9;AEDCCECBBACBBBADBBBCAACDAEBABDCBAEACADEEBEACD;EEECADBDDCDCADABCCDDEDCAADEADAACEDABCBBEADCCB;99999ACDCBEABDBBBBAACAECDDBDBAABCEDBEAECBBACEEBEDE;CABCBCABDABDCBBEBADECAAABDDCABECBAADDBBAEBEBC;1;DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA;EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC;DECEACCEBBDADEBABEAAEDCBCABDCEBADCEBAAECBBCBDABEBB;CBAACCEABDDCDBDDCEAECADBECEBACBDABDBEBCDADCEE;1;120;120;100;120;120;580;E;E;D;D;2;B;A;B;C;A;A;B;A;A;A;A;A;A;C;B;B;C;B;B;B;A;;;;;;;;0;5;5;5;5;2;5;;C;A;A;A;A;D;A;A;A
160000000001;2016;5;M;0;1;1;1;3;1;;0;;;;;;;;0;;;;4118501;Pato Branco;41;PR;1;1;1;1;294;298;301;305;576.6;669.8;610.1;423.6;ACBDDEACAECEABDBCABDEDDEBCBCACDACADCABECACDCA;EDEDDDACDBEDDACABECCDDCECBEEEEAAAADAAABBEBCAD;99999BCBCCAAACCABDCCABBCCEEABACCADBBCBDADACCCADADD;EEEBCDCCCBCEBDCCABAABBCBBBDEACCDBECBBDECABDCA;1;EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA;EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD;EECDABBECCDAAECBBCBDABBAAEEBBDCBADEBABEADCECEBCABD;CCEEBCCEBAABDDECADCEECDBCBDBECBADDACEAABDBDAD;1;120;120;120;120;80;560;H;H;F;F;5;D;A;B;D;B;A;B;B;B;A;B;A;A;B;B;A;C;B;B;B;A;;;;;;;;0;5;5;5;5;5;5;;A;A;A;A;A;D;A;A;C
160000000002;2016;6;M;0;3;1;1;1;1;;0;;;;;;;;0;;;;2927408;Salvador;29;BA;1;1;1;1;292;296;299;303;485.8;576.9;637.4;414.6;BAADDBAABDAADDECBEBAEAEBBADBBAADCDCBAEDECBBED;DEBCDDEDDDDDABDCECBDBDBAADECDCECDAEBAAEBDDADA;CEDEA99999DBBBBDABDADEADEADDCEECCAAAAABEACCABCABEB;BBAAEBDEBDCCBBBDCBBCACCEBDDBAABADBBCBBCDDDCCB;0;DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA;EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC;CEDEACCBEBDBABECABDADEADCEDCBEBBCEBAAEBAAECBBCBDAB;DADCCECBDECADCBACDBCEEABDDAABDBCEADDBECEBAEBC;1;120;100;80;80;100;480;B;E;D;D;3;D;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;B;B;B;A;;;;;;;;5;5;3;5;3;5;5;;B;A;B;A;A;A;D;A;C
160000000003;2016;2;M;0;1;1;1;1;1;;0;;;;;;;;0;;;;1501402;Belém;15;PA;1;1;1;1;294;298;299;303;571.4;628.6;646.2;709.4;DDDDDBDCABCEABDBCDCBEDEABDACBDAACCACDBBBAADAA;BEDABEACEAEBDACABADDDDCECAEBEEBAAABECADDDCCDD;99999CCEEBDBBBCCEDDADEADAEEACEBECEAAABDEAECABCADDB;CADECACCDECBDCCBCDBDBEAEADDCCDABDAADCECDBAABE;1;EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA;EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD;CEDEACCBEBDBABECABDADEADCEDCBEBBCEBAAEBAAECBBCBDAB;DADCCECBDECADCBACDBCEEABDDAABDBCEADDBECEBAEBC;1;120;120;120;140;120;620;E;E;E;D;5;B;A;B;B;A;A;B;B;B;A;A;A;A;B;B;A;B;A;A;B;A;;;;;;;;5;5;3;4;3;5;5;;D;A;A;A;A;E;A;A;A
160000000004;2016;13;F;2;1;1;1;10;1;;0;;;;;;;;0;;;;5300108;Brasília;53;DF;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;A;A;A;A;20;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;;;;;;;;0;0;0;0;0;0;0;;A;A;A;A;A;A;A;A;A
160000000005;2016;5;M;0;3;1;1;2;1;;0;;;;;;;;0;;;;2304400;Fortaleza;23;CE;1;1;1;1;294;298;302;306;556.9;537.3;585.1;708.1;DABDAECBADEADCDBCAACACEBBDABDBDACCDAEDCDDCBCA;EDDDBEACECBCDBEBBCBACDCCEBBAAEEDACBDAADCDECAB;99999CACDBDEBBACABCCBCBABCDEEDACCAADACECABCEBBAAEC;CEEBDBCDDCCDCBBADEAEDCCDABDDABAECDEECECEDAABB;1;EADBDCCBADBEBCEBCABDEBEEBECADDBEACACDDBCADCCA;EDDBDDACDCEDDACBBBCBCDCECADBEEBAAADECAECCBCAD;EDECACCBBEDEBBBDABCBBCCEBADCEBAAEAAEDCBCABDBABEADE;CEECDBDADEBCCEBABECEACBDABDBDDABDDECADCCEACBA;1;120;100;160;120;100;600;H;B;C;B;3;B;B;B;C;A;B;B;A;B;A;A;A;A;B;A;A;C;A;A;B;C;D;B;3;0;3;5;5;5;5;0;0;0;5;5;5;D;A;A;A;A;B;A;A;A
160000000006;2016;14;M;1;3;1;1;10;1;;0;;;;;;;;0;;;;2304400;Fortaleza;23;CE;1;1;0;0;292;296;;;629.2;644.7;;;BEDBCAEABBBCDCADDEBEECDAABDEADBBBEDBEDDAEABCE;DEBABDEDCBBDACDDCCBDBEEADDEDDCDAECEECABADDCED;;;0;DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA;EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC;;;;;;;;;;G;G;D;D;4;B;A;B;B;A;A;B;B;B;A;A;A;B;B;B;A;B;B;B;B;A;;;;;;;;5;5;5;5;5;5;5;;D;A;A;A;A;E;A;A;A
160000000007;2016;4;F;0;1;1;1;1;1;;0;;;;;;;;0;;;;2304400;Fortaleza;23;CE;1;1;1;1;291;295;300;304;734.3;698.1;650.4;798.7;BCDBBCCDCCBADBDDABBEBDAEBDCCAEACDBEDBCACDEEEE;ECBDCBDCCBBDDBEEADEDCECCABBCDEECDADBBDACEDDBA;DABEA99999DADEBABCAACEEBDEBDCDBADCEEBDECDBCBDEBEBA;DCAACCEABEEDCBDDCEAECADBDBBAABBDABDEBBCDADAEE;0;BCADBCEDCCBADBDCADBEBDBEADCCAEACDBEDBCACAEBEE;BCBCCADCCBEDDBEEADBDCECCBBECAEEDDADCDDACAADBA;DECEACCEBBDADEBABEAAEDCBCABDCEBADCEBAAECBBCBDABEBB;CBAACCEABDDCDBDDCEAECADBECEBACBDABDBEBCDADCEE;1;200;180;200;200;200;980;F;G;D;E;4;J;D;D;E;B;A;C;B;B;A;B;A;A;E;B;B;E;B;D;B;A;;;;;;;;5;5;2;1;4;4;5;;C;A;A;A;A;D;A;A;A
160000427444;2016;11;F;0;1;1;1;9;1;;0;;;;;;;;0;;;;3506003;Bauru;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;F;F;D;F;3;F;D;C;D;C;A;B;B;B;A;B;A;B;B;B;B;B;B;B;B;A;;;;;;;;5;5;0;0;0;1;4;;C;A;A;A;A;D;A;A;A
160000427445;2016;8;F;1;3;1;1;5;1;;0;;;;;;;;0;;;;3550308;São Paulo;35;SP;1;1;1;1;292;296;300;304;392.4;474.6;469.9;422.5;DCCBDDACABEDABBCCDBDACCBBEABBCBAEDDDCADEEEEBA;ECADAEDCEDDCAACEEBBEAECEABAEDEEDCBABABBEADDCC;99999ADBBDAABBADBAAEAAADCDAAAEDAEEECECABDEACEDEEEC;AEBCBCBCCCDDD*BBBCCDBCBDBEECCDABDEAEDABDEBCBE;1;DBDCCACADBADBCABDEBEECECDDBCADCCBEBBEDBEAEACA;EEBCBCEDDBDDACCCBCADADBAADEDDADCECAECBBBADCEC;DECEACCEBBDADEBABEAAEDCBCABDCEBADCEBAAECBBCBDABEBB;CBAACCEABDDCDBDDCEAECADBECEBACBDABDBEBCDADCEE;1;140;120;120;140;60;580;D;D;B;B;2;B;A;B;B;A;A;B;A;A;A;B;A;A;B;B;B;C;B;B;B;C;B;E;5;5;3;5;5;5;5;5;5;0;3;5;5;A;A;A;A;A;A;A;B;A
